id,studentid,jobid,action,content
360,2012310575,0,END_READING,TIMESTAMP=1446022929911	USER=2012310575	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=4
361,2012310575,0,TIME_ESTIMATION,TIMESTAMP=1446022934490	USER=2012310575	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=4 ET=0
362,2015011319,0,BEGIN_CALIBRATION,TIMESTAMP=1446024104031	USER=2015011319	JOBID=0	ACTION=BEGIN_CALIBRATION	INFO:
363,2015011319,0,END_CALIBRATION,TIMESTAMP=1446024174258	USER=2015011319	JOBID=0	ACTION=END_CALIBRATION	INFO:
364,2015011319,0,BEGIN_READING,TIMESTAMP=1446024184148	USER=2015011319	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
365,2015011319,0,END_READING,TIMESTAMP=1446024355481	USER=2015011319	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=1
366,2015011319,0,TIME_ESTIMATION,TIMESTAMP=1446024367281	USER=2015011319	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=120
367,2015011319,0,BEGIN_READING,TIMESTAMP=1446024370085	USER=2015011319	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
368,2015011319,0,END_READING,TIMESTAMP=1446024468863	USER=2015011319	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=2
369,2015011319,0,TIME_ESTIMATION,TIMESTAMP=1446024478097	USER=2015011319	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=2 ET=100
370,2015011319,0,BEGIN_READING,TIMESTAMP=1446024479679	USER=2015011319	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
371,2015011319,0,END_READING,TIMESTAMP=1446024556095	USER=2015011319	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=3
372,2015011319,0,TIME_ESTIMATION,TIMESTAMP=1446024563311	USER=2015011319	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=3 ET=70
373,2015011319,0,BEGIN_READING,TIMESTAMP=1446024564977	USER=2015011319	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
374,2015011319,0,END_READING,TIMESTAMP=1446024630110	USER=2015011319	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=4
375,2015011319,0,TIME_ESTIMATION,TIMESTAMP=1446024638800	USER=2015011319	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=4 ET=60
376,2015011319,1,BEGIN_CALIBRATION,TIMESTAMP=1446024685367	USER=2015011319	JOBID=1	ACTION=BEGIN_CALIBRATION	INFO:
377,2015011319,1,END_CALIBRATION,TIMESTAMP=1446024754079	USER=2015011319	JOBID=1	ACTION=END_CALIBRATION	INFO:
378,2015011319,1,BEGIN_READING,TIMESTAMP=1446024766063	USER=2015011319	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
379,2015011319,1,END_READING,TIMESTAMP=1446024967394	USER=2015011319	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=1
380,2015011319,1,TIME_ESTIMATION,TIMESTAMP=1446024976141	USER=2015011319	JOBID=1	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=199
381,2015011319,1,BEGIN_READING,TIMESTAMP=1446024978944	USER=2015011319	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
382,2015011319,1,END_READING,TIMESTAMP=1446025102203	USER=2015011319	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=2
383,2015011319,1,TIME_ESTIMATION,TIMESTAMP=1446025113995	USER=2015011319	JOBID=1	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=2 ET=130
384,2015011319,1,BEGIN_READING,TIMESTAMP=1446025117012	USER=2015011319	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
385,2015011319,1,END_READING,TIMESTAMP=1446025269070	USER=2015011319	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=3
386,2015011319,1,TIME_ESTIMATION,TIMESTAMP=1446025280207	USER=2015011319	JOBID=1	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=3 ET=180
387,2015011319,1,BEGIN_READING,TIMESTAMP=1446025284427	USER=2015011319	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
388,2015011319,1,END_READING,TIMESTAMP=1446025399962	USER=2015011319	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=4
389,2015011319,1,TIME_ESTIMATION,TIMESTAMP=1446025405339	USER=2015011319	JOBID=1	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=4 ET=160
