id,studentid,jobid,action,content
40,2015012616,2,END_READING,TIMESTAMP=1449744686907	USER=2015012616	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=3
41,2015012616,2,RELEVANCE_ANNOTATION,TIMESTAMP=1449744689555	USER=2015012616	JOBID=2	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=3 REL=3
42,2015012616,2,RELEVANCE_ANNOTATION,TIMESTAMP=1449744691979	USER=2015012616	JOBID=2	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=3 REL=-1
43,2015012616,2,BEGIN_READING,TIMESTAMP=1449744692724	USER=2015012616	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
44,2015012616,2,END_READING,TIMESTAMP=1449744744059	USER=2015012616	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=4
45,2015012616,2,RELEVANCE_ANNOTATION,TIMESTAMP=1449744745938	USER=2015012616	JOBID=2	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=4 REL=3
46,2015012616,2,TIME_ESTIMATION,TIMESTAMP=1449744777755	USER=2015012616	JOBID=2	DOCID=0	ACTION=TIME_ESTIMATION	INFO:Segments=546_647_877_
47,2015012616,2,RELATIVE_ESTIMATION,TIMESTAMP=1449744845651	USER=2015012616	JOBID=2	DOCID=0	ACTION=RELATIVE_ESTIMATION	INFO:Range=_13_16_1_3_4_7_3_6_25_28 Relative=100_20_46_36_
48,2015012616,2,OUTCOME,"TIMESTAMP=1449745058402	USER=2015012616	JOBID=2	DOCID=0	ACTION=OUTCOME	INFO:answer=In the article, exactly, I remembered that till 1827 the length of films could only be about 1 minute. The motion of the images is also a big step in the history of film. Moreover, how to make the sound and the view fixed together remained as a tough problem for many years, and smart film makers chose to have narrators telling the audience the main idea of the film while they watch it."
49,2015012616,3,BEGIN_READING,TIMESTAMP=1449745465634	USER=2015012616	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
50,2015012616,3,END_READING,TIMESTAMP=1449745664077	USER=2015012616	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=1
51,2015012616,3,BEGIN_READING,TIMESTAMP=1449745673381	USER=2015012616	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
