segments,ri,mean:-0.097,p-value:0.0
segments,rr,mean:0.011,p-value:0.77
segments,ii,mean:-0.075,p-value:0.117
range,ri,mean:-0.096,p-value:0.0
range,rr,mean:-0.022,p-value:0.518
range,ii,mean:-0.06,p-value:0.193
relative,ri,mean:-0.04,p-value:0.147
relative,rr,mean:0.022,p-value:0.556
relative,ii,mean:-0.068,p-value:0.168
