studentid,taskid,docid,docrank,perceived relevance,dwell time,time1,time2_low,time2_high,time3,,R,IR,R-dtime,IR-dtime,avg-R-dtime,avg-IR-dtime,avg-(R-IR)-dtime
2014011319,4,2,4,3,173.4,414,180,200,66,,TRUE,FALSE,173.4,0,,,
2014011319,5,4,1,0,135.6,154,60,60,30,,FALSE,TRUE,0,135.6,,,
2014011319,5,5,2,1,153.4,167,60,70,30,,FALSE,TRUE,0,153.4,,,
2014011319,5,1,3,3,204.9,429,200,220,99,,TRUE,FALSE,204.9,0,,,
2014011319,5,2,4,3,155.5,250,140,160,48,,TRUE,FALSE,155.5,0,,,
2015012679,2,4,1,0,59.6,199,60,80,61,,FALSE,TRUE,0,59.6,103.3222222,70.72857143,32.59365079
2015012679,2,5,2,0,70.4,231,60,80,61,,FALSE,TRUE,0,70.4,,,
2015012679,2,1,3,3,116.5,295,80,100,91,,TRUE,FALSE,116.5,0,,,
2015012679,2,2,4,3,105.2,275,80,100,88,,TRUE,FALSE,105.2,0,,,
2015012679,3,1,1,3,122.2,250,80,100,77,,TRUE,FALSE,122.2,0,,,
2015012679,3,4,2,2,104.2,186,100,120,62,,TRUE,FALSE,104.2,0,,,
2015012679,3,2,3,3,145.2,364,80,100,100,,TRUE,FALSE,145.2,0,,,
2015012679,3,5,4,1,91.5,200,70,90,82,,FALSE,TRUE,0,91.5,,,
2015012679,4,1,1,3,72.2,250,60,80,58,,TRUE,FALSE,72.2,0,,,
2015012679,4,4,2,1,70.3,269,50,70,60,,FALSE,TRUE,0,70.3,,,
2015012679,4,5,3,0,65.2,256,50,70,41,,FALSE,TRUE,0,65.2,,,
2015012679,4,2,4,3,81.3,225,60,80,58,,TRUE,FALSE,81.3,0,,,
2015012679,5,1,1,3,101.1,275,70,90,85,,TRUE,FALSE,101.1,0,,,
2015012679,5,2,2,3,82,274,80,100,89,,TRUE,FALSE,82,0,,,
2015012679,5,4,3,0,63.4,226,60,80,73,,FALSE,TRUE,0,63.4,,,
2015012679,5,5,4,1,74.7,225,70,90,71,,FALSE,TRUE,0,74.7,,,
2015012676,2,1,1,3,120.1,331,260,280,84,,TRUE,FALSE,120.1,0,79.24545455,61.94,17.30545455
2015012676,2,2,2,2,96.6,295,230,240,92,,TRUE,FALSE,96.6,0,,,
2015012676,2,4,3,2,46.4,153,60,80,33,,TRUE,FALSE,46.4,0,,,
2015012676,2,5,4,0,53.4,221,100,110,70,,FALSE,TRUE,0,53.4,,,
2015012676,3,1,1,3,92.4,250,150,170,81,,TRUE,FALSE,92.4,0,,,
2015012676,3,4,2,2,66.7,260,160,180,80,,TRUE,FALSE,66.7,0,,,
2015012676,3,5,3,2,66.1,246,150,170,77,,TRUE,FALSE,66.1,0,,,
2015012676,3,2,4,3,62.8,244,150,170,85,,TRUE,FALSE,62.8,0,,,
2015012676,4,1,1,3,90.1,306,150,170,88,,TRUE,FALSE,90.1,0,,,
2015012676,4,4,2,0,66.5,210,100,110,59,,FALSE,TRUE,0,66.5,,,
2015012676,4,2,3,3,80.6,357,140,160,80,,TRUE,FALSE,80.6,0,,,
2015012676,4,5,4,0,36.8,127,60,80,21,,FALSE,TRUE,0,36.8,,,
2015012676,5,4,1,0,50,250,130,140,37,,FALSE,TRUE,0,50,,,
2015012676,5,5,2,1,103,288,150,170,52,,FALSE,TRUE,0,103,,,
2015012676,5,1,3,3,75.7,133,200,220,86,,TRUE,FALSE,75.7,0,,,
2015012676,5,2,4,3,74.2,329,210,230,80,,TRUE,FALSE,74.2,0,,,
2015012674,2,1,1,3,158.5,379,120,160,90,,TRUE,FALSE,158.5,0,123.1714286,52.51111111,70.66031746
2015012674,2,2,2,2,115.6,329,110,140,87,,TRUE,FALSE,115.6,0,,,
2015012674,2,4,3,0,38.8,145,50,70,32,,FALSE,TRUE,0,38.8,,,
2015012674,2,5,4,0,46.1,147,30,60,35,,FALSE,TRUE,0,46.1,,,
2015012674,3,1,1,2,128.3,358,100,140,82,,TRUE,FALSE,128.3,0,,,
2015012674,3,4,2,1,76.8,306,90,130,77,,FALSE,TRUE,0,76.8,,,
2015012674,3,2,3,1,109.5,259,100,140,77,,FALSE,TRUE,0,109.5,,,
2015012674,3,5,4,0,35.7,77,30,60,16,,FALSE,TRUE,0,35.7,,,
