id,studentid,jobid,action,content
162,2015011335,2,END_READING,TIMESTAMP=1447328102263	USER=2015011335	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=2
163,2015011335,2,TIME_ESTIMATION,TIMESTAMP=1447328109729	USER=2015011335	JOBID=2	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=2 ET=18 REL=0 ANS=B
164,2015011335,2,BEGIN_READING,TIMESTAMP=1447328111085	USER=2015011335	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
165,2015011335,2,END_READING,TIMESTAMP=1447328159261	USER=2015011335	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=3
166,2015011335,2,TIME_ESTIMATION,TIMESTAMP=1447328181768	USER=2015011335	JOBID=2	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=3 ET=37 REL=3 ANS=A
167,2015011335,2,BEGIN_READING,TIMESTAMP=1447328182968	USER=2015011335	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
168,2015011335,2,END_READING,TIMESTAMP=1447328234331	USER=2015011335	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=4
169,2015011335,2,TIME_ESTIMATION,TIMESTAMP=1447328251351	USER=2015011335	JOBID=2	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=4 ET=51 REL=2 ANS=C
170,2015011335,3,BEGIN_CALIBRATION,TIMESTAMP=1447328309483	USER=2015011335	JOBID=3	DOCID=0	ACTION=BEGIN_CALIBRATION	INFO:
171,2015011335,3,END_CALIBRATION,TIMESTAMP=1447328354852	USER=2015011335	JOBID=3	DOCID=0	ACTION=END_CALIBRATION	INFO:
172,2015011335,3,BEGIN_CALIBRATION,TIMESTAMP=1447328357484	USER=2015011335	JOBID=3	DOCID=9	ACTION=BEGIN_CALIBRATION	INFO:
173,2015011335,3,END_CALIBRATION,TIMESTAMP=1447328491850	USER=2015011335	JOBID=3	DOCID=9	ACTION=END_CALIBRATION	INFO:
174,2015011335,3,BEGIN_READING,TIMESTAMP=1447328500509	USER=2015011335	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
175,2015011335,3,END_READING,TIMESTAMP=1447328567820	USER=2015011335	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=1
176,2015011335,3,TIME_ESTIMATION,TIMESTAMP=1447328583479	USER=2015011335	JOBID=3	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=53 REL=3 ANS=C
177,2015011335,3,BEGIN_READING,TIMESTAMP=1447328584662	USER=2015011335	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
178,2015011335,3,END_READING,TIMESTAMP=1447328689441	USER=2015011335	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=2
179,2015011335,3,TIME_ESTIMATION,TIMESTAMP=1447328709763	USER=2015011335	JOBID=3	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=2 ET=115 REL=1 ANS=A
180,2015011335,3,BEGIN_READING,TIMESTAMP=1447328712026	USER=2015011335	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
181,2015011335,3,END_READING,TIMESTAMP=1447328847978	USER=2015011335	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=3
182,2015011335,3,TIME_ESTIMATION,TIMESTAMP=1447328854930	USER=2015011335	JOBID=3	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=3 ET=62 REL=2 ANS=D
183,2015011335,3,BEGIN_READING,TIMESTAMP=1447328855695	USER=2015011335	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
184,2015011335,3,END_READING,TIMESTAMP=1447328893942	USER=2015011335	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=4
185,2015011335,3,TIME_ESTIMATION,TIMESTAMP=1447328907858	USER=2015011335	JOBID=3	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=4 ET=44 REL=0 ANS=A
